Text,Image
urn:cts:greekLit:tlg0012.tlg001.e3:11.46,"urn:cite:hmt:e3img.E3-137r@0.1652,0.6032,0.4204,0.0278"
urn:cts:greekLit:tlg0012.tlg001.e3:11.47,""
urn:cts:greekLit:tlg0012.tlg001.e3:11.48,""
urn:cts:greekLit:tlg0012.tlg001.e3:11.49,""
urn:cts:greekLit:tlg0012.tlg001.e3:11.50,""
urn:cts:greekLit:tlg0012.tlg001.e3:11.51,
urn:cts:greekLit:tlg0012.tlg001.e3:11.52,
urn:cts:greekLit:tlg0012.tlg001.e3:11.53,
urn:cts:greekLit:tlg0012.tlg001.e3:11.54,
urn:cts:greekLit:tlg0012.tlg001.e3:11.55,
urn:cts:greekLit:tlg0012.tlg001.e3:11.56,
urn:cts:greekLit:tlg0012.tlg001.e3:11.57,
urn:cts:greekLit:tlg0012.tlg001.e3:11.58,
urn:cts:greekLit:tlg0012.tlg001.e3:11.59,
urn:cts:greekLit:tlg0012.tlg001.e3:11.60,
urn:cts:greekLit:tlg0012.tlg001.e3:11.61,
urn:cts:greekLit:tlg0012.tlg001.e3:11.62,
urn:cts:greekLit:tlg0012.tlg001.e3:11.63,
urn:cts:greekLit:tlg0012.tlg001.e3:11.64,
urn:cts:greekLit:tlg0012.tlg001.e3:11.65,
urn:cts:greekLit:tlg0012.tlg001.e3:11.66,
urn:cts:greekLit:tlg0012.tlg001.e3:11.67,
urn:cts:greekLit:tlg0012.tlg001.e3:11.68,
urn:cts:greekLit:tlg0012.tlg001.e3:11.69,
urn:cts:greekLit:tlg0012.tlg001.e3:11.70,
urn:cts:greekLit:tlg0012.tlg001.e3:11.71,
urn:cts:greekLit:tlg0012.tlg001.e3:11.72,
urn:cts:greekLit:tlg0012.tlg001.e3:11.73,
urn:cts:greekLit:tlg0012.tlg001.e3:11.74,
urn:cts:greekLit:tlg0012.tlg001.e3:11.75,
urn:cts:greekLit:tlg0012.tlg001.e3:11.76,
urn:cts:greekLit:tlg0012.tlg001.e3:11.77,
urn:cts:greekLit:tlg0012.tlg001.e3:11.78,
urn:cts:greekLit:tlg0012.tlg001.e3:11.79,
urn:cts:greekLit:tlg0012.tlg001.e3:11.80,
urn:cts:greekLit:tlg0012.tlg001.e3:11.81,
urn:cts:greekLit:tlg0012.tlg001.e3:11.82,
urn:cts:greekLit:tlg0012.tlg001.e3:11.83,
urn:cts:greekLit:tlg0012.tlg001.e3:11.84,
urn:cts:greekLit:tlg0012.tlg001.e3:11.85,
urn:cts:greekLit:tlg0012.tlg001.e3:11.86,
urn:cts:greekLit:tlg0012.tlg001.e3:11.87,
urn:cts:greekLit:tlg0012.tlg001.e3:11.88,
urn:cts:greekLit:tlg0012.tlg001.e3:11.89,
urn:cts:greekLit:tlg0012.tlg001.e3:11.90,
urn:cts:greekLit:tlg0012.tlg001.e3:11.91,
urn:cts:greekLit:tlg0012.tlg001.e3:11.92,
urn:cts:greekLit:tlg0012.tlg001.e3:11.93,
urn:cts:greekLit:tlg0012.tlg001.e3:11.94,
urn:cts:greekLit:tlg0012.tlg001.e3:11.95,
urn:cts:greekLit:tlg0012.tlg001.e3:11.96,
urn:cts:greekLit:tlg0012.tlg001.e3:11.97,
urn:cts:greekLit:tlg0012.tlg001.e3:11.98,
urn:cts:greekLit:tlg0012.tlg001.e3:11.99,
urn:cts:greekLit:tlg0012.tlg001.e3:11.100,
urn:cts:greekLit:tlg0012.tlg001.e3:11.101,
urn:cts:greekLit:tlg0012.tlg001.e3:11.102,
urn:cts:greekLit:tlg0012.tlg001.e3:11.103,
urn:cts:greekLit:tlg0012.tlg001.e3:11.104,
urn:cts:greekLit:tlg0012.tlg001.e3:11.105,
urn:cts:greekLit:tlg0012.tlg001.e3:11.106,
urn:cts:greekLit:tlg0012.tlg001.e3:11.107,
urn:cts:greekLit:tlg0012.tlg001.e3:11.108,
urn:cts:greekLit:tlg0012.tlg001.e3:11.109,
urn:cts:greekLit:tlg0012.tlg001.e3:11.110,
urn:cts:greekLit:tlg0012.tlg001.e3:11.111,
urn:cts:greekLit:tlg0012.tlg001.e3:11.112,
urn:cts:greekLit:tlg0012.tlg001.e3:11.113,
urn:cts:greekLit:tlg0012.tlg001.e3:11.114,
urn:cts:greekLit:tlg0012.tlg001.e3:11.115,
urn:cts:greekLit:tlg0012.tlg001.e3:11.116,
urn:cts:greekLit:tlg0012.tlg001.e3:11.117,
urn:cts:greekLit:tlg0012.tlg001.e3:11.118,
urn:cts:greekLit:tlg0012.tlg001.e3:11.119,
urn:cts:greekLit:tlg0012.tlg001.e3:11.120,
urn:cts:greekLit:tlg0012.tlg001.e3:11.121,
urn:cts:greekLit:tlg0012.tlg001.e3:11.122,
urn:cts:greekLit:tlg0012.tlg001.e3:11.123,
urn:cts:greekLit:tlg0012.tlg001.e3:11.124,
urn:cts:greekLit:tlg0012.tlg001.e3:11.125,
urn:cts:greekLit:tlg0012.tlg001.e3:11.126,
urn:cts:greekLit:tlg0012.tlg001.e3:11.127,
urn:cts:greekLit:tlg0012.tlg001.e3:11.128,
urn:cts:greekLit:tlg0012.tlg001.e3:11.129,
urn:cts:greekLit:tlg0012.tlg001.e3:11.130,
urn:cts:greekLit:tlg0012.tlg001.e3:11.131,
urn:cts:greekLit:tlg0012.tlg001.e3:11.132,
urn:cts:greekLit:tlg0012.tlg001.e3:11.133,
urn:cts:greekLit:tlg0012.tlg001.e3:11.134,
urn:cts:greekLit:tlg0012.tlg001.e3:11.135,
urn:cts:greekLit:tlg0012.tlg001.e3:11.136,
urn:cts:greekLit:tlg0012.tlg001.e3:11.137,
urn:cts:greekLit:tlg0012.tlg001.e3:11.138,
urn:cts:greekLit:tlg0012.tlg001.e3:11.139,
urn:cts:greekLit:tlg0012.tlg001.e3:11.140,
urn:cts:greekLit:tlg0012.tlg001.e3:11.141,
urn:cts:greekLit:tlg0012.tlg001.e3:11.142,
urn:cts:greekLit:tlg0012.tlg001.e3:11.143,
urn:cts:greekLit:tlg0012.tlg001.e3:11.144,
urn:cts:greekLit:tlg0012.tlg001.e3:11.145,
urn:cts:greekLit:tlg0012.tlg001.e3:11.146,
urn:cts:greekLit:tlg0012.tlg001.e3:11.147,
urn:cts:greekLit:tlg0012.tlg001.e3:11.148,
urn:cts:greekLit:tlg0012.tlg001.e3:11.149,
urn:cts:greekLit:tlg0012.tlg001.e3:11.150,
urn:cts:greekLit:tlg0012.tlg001.e3:11.151,
urn:cts:greekLit:tlg0012.tlg001.e3:11.152,
urn:cts:greekLit:tlg0012.tlg001.e3:11.153,
urn:cts:greekLit:tlg0012.tlg001.e3:11.154,
urn:cts:greekLit:tlg0012.tlg001.e3:11.155,
urn:cts:greekLit:tlg0012.tlg001.e3:11.156,
urn:cts:greekLit:tlg0012.tlg001.e3:11.157,
urn:cts:greekLit:tlg0012.tlg001.e3:11.158,
urn:cts:greekLit:tlg0012.tlg001.e3:11.159,
urn:cts:greekLit:tlg0012.tlg001.e3:11.160,
urn:cts:greekLit:tlg0012.tlg001.e3:11.161,
urn:cts:greekLit:tlg0012.tlg001.e3:11.162,
urn:cts:greekLit:tlg0012.tlg001.e3:11.163,
urn:cts:greekLit:tlg0012.tlg001.e3:11.164,
urn:cts:greekLit:tlg0012.tlg001.e3:11.165,
urn:cts:greekLit:tlg0012.tlg001.e3:11.166,
urn:cts:greekLit:tlg0012.tlg001.e3:11.167,
urn:cts:greekLit:tlg0012.tlg001.e3:11.168,
urn:cts:greekLit:tlg0012.tlg001.e3:11.169,
urn:cts:greekLit:tlg0012.tlg001.e3:11.170,
urn:cts:greekLit:tlg0012.tlg001.e3:11.171,
urn:cts:greekLit:tlg0012.tlg001.e3:11.172,
urn:cts:greekLit:tlg0012.tlg001.e3:11.173,
urn:cts:greekLit:tlg0012.tlg001.e3:11.174,
urn:cts:greekLit:tlg0012.tlg001.e3:11.175,
urn:cts:greekLit:tlg0012.tlg001.e3:11.176,
urn:cts:greekLit:tlg0012.tlg001.e3:11.177,
urn:cts:greekLit:tlg0012.tlg001.e3:11.178,
urn:cts:greekLit:tlg0012.tlg001.e3:11.179,
urn:cts:greekLit:tlg0012.tlg001.e3:11.180,
urn:cts:greekLit:tlg0012.tlg001.e3:11.181,
