Scholion,Image,Number
urn:cts:greekLit:tlg5026.e3.hmt:11.54,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.578,0.7671,0.0146,0.0225",20
urn:cts:greekLit:tlg5026.e3.hmt:11.55,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4634,0.7938,0.0146,0.0225",21
urn:cts:greekLit:tlg5026.e3.hmt:11.56,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.4634,0.8107,0.0113,0.0225",22
urn:cts:greekLit:tlg5026.e3.hmt:11.57,,1
urn:cts:greekLit:tlg5026.e3.hmt:11.58,,2
urn:cts:greekLit:tlg5026.e3.hmt:11.59,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.2161,0.2791,0.018,0.0243",3
urn:cts:greekLit:tlg5026.e3.hmt:11.60,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.0959,0.3068,0.0134,0.0284",4
urn:cts:greekLit:tlg5026.e3.hmt:11.61,,5
urn:cts:greekLit:tlg5026.e3.hmt:11.62,,6
urn:cts:greekLit:tlg5026.e3.hmt:11.63,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.1005,0.6686,0.0139,0.0305",7
urn:cts:greekLit:tlg5026.e3.hmt:11.64,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.1015,0.747,0.0153,0.0187",8
urn:cts:greekLit:tlg5026.e3.hmt:11.65,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.1001,0.765,0.0153,0.0187",9
urn:cts:greekLit:tlg5026.e3.hmt:11.66,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.1005,0.7823,0.0153,0.0187",10
urn:cts:greekLit:tlg5026.e3.hmt:11.67,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.1015,0.8267,0.0153,0.0187",11
urn:cts:greekLit:tlg5026.e3.hmt:11.68,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.4731,0.2571,0.0144,0.0184",12
urn:cts:greekLit:tlg5026.e3.hmt:11.69,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.6985,0.33,0.0144,0.0184",13
urn:cts:greekLit:tlg5026.e3.hmt:11.70,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.6976,0.6886,0.0175,0.0184",14
urn:cts:greekLit:tlg5026.e3.hmt:11.71,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.4691,0.7589,0.0241,0.0171",15
urn:cts:greekLit:tlg5026.e3.hmt:11.72,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.4713,0.7714,0.0241,0.0171",16
urn:cts:greekLit:tlg5026.e3.hmt:11.73,"urn:cite:hmt:e3bifolio.E3_139v_140r@0.6044,0.7977,0.0241,0.0171",17
urn:cts:greekLit:tlg5026.e3.hmt:11.74,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.2122,0.2402,0.023,0.0285",1
urn:cts:greekLit:tlg5026.e3.hmt:11.75,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.2122,0.2658,0.023,0.0285",2
urn:cts:greekLit:tlg5026.e3.hmt:11.76,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.1001,0.3198,0.023,0.0285",3
urn:cts:greekLit:tlg5026.e3.hmt:11.77,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.1041,0.5556,0.023,0.0285",4
urn:cts:greekLit:tlg5026.e3.hmt:11.78,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.2152,0.7718,0.023,0.0285",5
urn:cts:greekLit:tlg5026.e3.hmt:11.79,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.4785,0.2477,0.012,0.015",6
urn:cts:greekLit:tlg5026.e3.hmt:11.80,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.4785,0.2598,0.012,0.0225",7
urn:cts:greekLit:tlg5026.e3.hmt:11.81,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.4765,0.2853,0.017,0.0195",8
urn:cts:greekLit:tlg5026.e3.hmt:11.82,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.7027,0.3228,0.018,0.042",9
urn:cts:greekLit:tlg5026.e3.hmt:11.83,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.6997,0.4925,0.018,0.042",10
urn:cts:greekLit:tlg5026.e3.hmt:11.84,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.6997,0.6126,0.018,0.042",11
urn:cts:greekLit:tlg5026.e3.hmt:11.85,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.4755,0.7508,0.018,0.042",12
urn:cts:greekLit:tlg5026.e3.hmt:11.86,"urn:cite:hmt:e3bifolio.E3_140v_141r@0.6887,0.8003,0.018,0.042",13
urn:cts:greekLit:tlg5026.e3.hmt:11.87,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.2048,0.2357,0.0157,0.0263",1
urn:cts:greekLit:tlg5026.e3.hmt:11.88,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.2078,0.277,0.013,0.0186",2
urn:cts:greekLit:tlg5026.e3.hmt:11.89,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.1071,0.3093,0.015,0.027",3
urn:cts:greekLit:tlg5026.e3.hmt:11.90,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.1071,0.4489,0.013,0.0225",4
urn:cts:greekLit:tlg5026.e3.hmt:11.91,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.1109,0.6265,0.011,0.0206",5
urn:cts:greekLit:tlg5026.e3.hmt:11.92,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.2839,0.7736,0.0137,0.0217",6
urn:cts:greekLit:tlg5026.e3.hmt:11.93,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.1124,0.7953,0.0122,0.024",7
urn:cts:greekLit:tlg5026.e3.hmt:11.94,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.4861,0.2354,0.0148,0.0272",8
urn:cts:greekLit:tlg5026.e3.hmt:11.95,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.4873,0.2571,0.0127,0.0217",9
urn:cts:greekLit:tlg5026.e3.hmt:11.96,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.4889,0.2818,0.0119,0.021",10
urn:cts:greekLit:tlg5026.e3.hmt:11.97,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.7263,0.3317,0.0109,0.0191",11
urn:cts:greekLit:tlg5026.e3.hmt:11.98,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.7269,0.3726,0.0095,0.0199",12
urn:cts:greekLit:tlg5026.e3.hmt:11.99,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.7258,0.5025,0.0109,0.018",13
urn:cts:greekLit:tlg5026.e3.hmt:11.100,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.724,0.6201,0.0087,0.0166",15
urn:cts:greekLit:tlg5026.e3.hmt:11.101,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.4927,0.7495,0.012,0.0174",14
urn:cts:greekLit:tlg5026.e3.hmt:11.102,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.4927,0.7651,0.0092,0.018",16
urn:cts:greekLit:tlg5026.e3.hmt:11.103,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.6214,0.7824,0.0143,0.0228",17
urn:cts:greekLit:tlg5026.e3.hmt:11.104,"urn:cite:hmt:e3bifolio.E3_141v_142r@0.4919,0.7992,0.0112,0.0192",18
urn:cts:greekLit:tlg5026.e3.hmt:11.105,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.1022,0.2096,0.0125,0.0163",1
urn:cts:greekLit:tlg5026.e3.hmt:11.106,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.1022,0.2241,0.0096,0.0176",2
urn:cts:greekLit:tlg5026.e3.hmt:11.107,"urn:cite:hmt:e3bifolio.E3_142v_143r@0.1018,0.236,0.0117,0.0201",3
