Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:11.44,"urn:cite:hmt:vaimg.VA139RN-0311@0.399,0.5856,0.133,0.0135",
urn:cts:greekLit:tlg5026.msAil.hmt:11.45,"urn:cite:hmt:vaimg.VA139RN-0311@0.3,0.6014,0.077,0.0128",
urn:cts:greekLit:tlg5026.msAil.hmt:11.46,"urn:cite:hmt:vaimg.VA139RN-0311@0.42,0.6044,0.057,0.0143",
urn:cts:greekLit:tlg5026.msAil.hmt:11.47,"urn:cite:hmt:vaimg.VA139RN-0311@0.5,0.6066,0.179,0.0323",
urn:cts:greekLit:tlg5026.msAil.hmt:11.48,"urn:cite:hmt:vaimg.VA139RN-0311@0.336,0.6426,0.082,0.0135",
urn:cts:greekLit:tlg5026.msAil.hmt:11.49,"urn:cite:hmt:vaimg.VA139RN-0311@0.474,0.6824,0.046,0.015",
urn:cts:greekLit:tlg5026.msAil.hmt:11.50,"",
urn:cts:greekLit:tlg5026.msAil.hmt:11.51,"",
urn:cts:greekLit:tlg5026.msAil.hmt:11.52,"",
urn:cts:greekLit:tlg5026.msAil.hmt:11.53,"",
urn:cts:greekLit:tlg5026.msAil.hmt:11.54,"",
urn:cts:greekLit:tlg5026.msAil.hmt:11.55,"",
urn:cts:greekLit:tlg5026.msAil.hmt:11.56,"",
urn:cts:greekLit:tlg5026.msAil.hmt:11.57,"",
urn:cts:greekLit:tlg5026.msAil.hmt:11.58,"",
urn:cts:greekLit:tlg5026.msAil.hmt:11.59,"",
