Scholion,Image,
urn:cts:greekLit:tlg5026.msA.hmt:11.1,"urn:cite:hmt:vaimg.VA137VN-0639@0.56,0.6752,0.021,0.012",
urn:cts:greekLit:tlg5026.msA.hmt:11.2,"urn:cite:hmt:vaimg.VA146RN-0318@0.632,0.1943,0.028,0.0128"
