Text,Image
urn:cts:greekLit:tlg0012.tlg001.e3:11.42,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.4815,0.6411,0.2252,0.024"
urn:cts:greekLit:tlg0012.tlg001.e3:11.43,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.4805,0.6562,0.2282,0.0255"
urn:cts:greekLit:tlg0012.tlg001.e3:11.44,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.4805,0.6727,0.2252,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:11.45,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.4805,0.6892,0.2242,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:11.46,"urn:cite:hmt:e3bifolio.E3_136v_137r@0.4825,0.7072,0.2242,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:11.47,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.163,0.1728,0.274,0.0448"
urn:cts:greekLit:tlg0012.tlg001.e3:11.48,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.166,0.2032,0.274,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.49,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.16,0.2256,0.274,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.50,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.158,0.248,0.274,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.51,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.162,0.272,0.279,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.52,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.162,0.2928,0.279,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.53,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.162,0.3136,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.54,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.16,0.3408,0.275,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.55,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.165,0.3632,0.28,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.56,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.164,0.3888,0.28,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.57,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.16,0.4112,0.286,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.58,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.159,0.432,0.286,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.59,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.166,0.4576,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.60,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.165,0.48,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.61,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.161,0.5056,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.62,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.155,0.5296,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.63,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.16,0.5504,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.64,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.161,0.5696,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.65,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.161,0.5952,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.66,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.16,0.616,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.67,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.156,0.6432,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.68,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.162,0.664,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.69,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.162,0.6848,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.70,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.158,0.7088,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.71,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.555,0.1968,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.72,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.562,0.224,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.73,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.56,0.2464,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.74,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.56,0.2688,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.75,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.559,0.2896,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.76,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.559,0.3136,0.292,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.77,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.564,0.3392,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.78,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.561,0.36,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.79,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.561,0.384,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.80,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.561,0.4048,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.81,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.561,0.4256,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.82,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.56,0.4464,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.83,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.562,0.4688,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.84,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.552,0.4992,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.85,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.565,0.5136,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.86,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.558,0.5392,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.87,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.557,0.5648,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.88,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.563,0.584,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.89,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.563,0.6064,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.90,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.563,0.632,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.91,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.561,0.6528,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.92,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.564,0.6736,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.93,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.552,0.7008,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.94,"urn:cite:hmt:e3bifolio.E3_137v_138r@0.554,0.7184,0.295,0.04"
urn:cts:greekLit:tlg0012.tlg001.e3:11.95,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.214,0.3152,0.2145,0.0321"
urn:cts:greekLit:tlg0012.tlg001.e3:11.96,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2079,0.3356,0.2301,0.0275"
urn:cts:greekLit:tlg0012.tlg001.e3:11.97,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2118,0.3544,0.2265,0.0233"
urn:cts:greekLit:tlg0012.tlg001.e3:11.98,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2121,0.3694,0.2284,0.0258"
urn:cts:greekLit:tlg0012.tlg001.e3:11.99,"urn:cite:hmt:e3bifolio.E3_138v_139r@0.2132,0.3852,0.2284,0.0258"
