Text,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:11.37,"urn:cite:hmt:vaimg.VA150RN-0322@0.084,0.3481,0.073,0.015",urn:cite:hmt:msA.150r
urn:cts:greekLit:tlg5026.msAint.hmt:11.38,"urn:cite:hmt:vaimg.VA150RN-0322@0.086,0.6497,0.068,0.0368",urn:cite:hmt:msA.150r
urn:cts:greekLit:tlg5026.msAint.hmt:11.39,"urn:cite:hmt:vaimg.VA151RN-0323@0.094,0.3223,0.074,0.0391",urn:cite:hmt:msA.151r
urn:cts:greekLit:tlg5026.msAint.hmt:11.40,"urn:cite:hmt:vaimg.VA151RN-0323@0.099,0.3614,0.07,0.0188",urn:cite:hmt:msA.151r
urn:cts:greekLit:tlg5026.msAint.hmt:11.41,"urn:cite:hmt:vaimg.VA151RN-0323@0.095,0.4027,0.063,0.0218",urn:cite:hmt:msA.151r
urn:cts:greekLit:tlg5026.msAint.hmt:11.42,"urn:cite:hmt:vaimg.VA151RN-0323@0.087,0.4192,0.074,0.0278",urn:cite:hmt:msA.151r
urn:cts:greekLit:tlg5026.msAint.hmt:11.43,"urn:cite:hmt:vaimg.VA151RN-0323@0.09,0.5672,0.063,0.0308",urn:cite:hmt:msA.151r
urn:cts:greekLit:tlg5026.msAint.hmt:11.44,"urn:cite:hmt:vaimg.VA151RN-0323@0.087,0.6063,0.063,0.0338",urn:cite:hmt:msA.151r
urn:cts:greekLit:tlg5026.msAint.hmt:11.45,"urn:cite:hmt:vaimg.VA151RN-0323@0.134,0.6672,0.17,0.0338",urn:cite:hmt:msA.151r
urn:cts:greekLit:tlg5026.msAint.hmt:11.47,"urn:cite:hmt:vaimg.VA151VN-0653@0.863,0.2813,0.067,0.0195",urn:cite:hmt:msA.151v
urn:cts:greekLit:tlg5026.msAint.hmt:11.48,"urn:cite:hmt:vaimg.VA153VN-0655@0.8669,0.5109,0.0681,0.0278",urn:cite:hmt:msA.153v
urn:cts:greekLit:tlg5026.msAint.hmt:11.49,"urn:cite:hmt:vaimg.VA154RN-0326@0.0921,0.3989,0.0751,0.0173",urn:cite:hmt:msA.154r
urn:cts:greekLit:tlg5026.msAint.hmt:11.50,"urn:cite:hmt:vaimg.VA154RN-0326@0.0871,0.4666,0.0771,0.0263",urn:cite:hmt:msA.154r
