URN, Image Reference
urn:cts:greekLit:tlg0012.tlg001.msA:11.44, "urn:cite:hmt:vaimg.VA138RN-0310@0.163,0.5638,0.453,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.45, "urn:cite:hmt:vaimg.VA138RN-0310@0.156,0.5788,0.433,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.46, "urn:cite:hmt:vaimg.VA138RN-0310@0.164,0.5991,0.406,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:11.47, "urn:cite:hmt:vaimg.VA138RN-0310@0.161,0.6164,0.409,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.48, "urn:cite:hmt:vaimg.VA138RN-0310@0.161,0.6359,0.456,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.49, "urn:cite:hmt:vaimg.VA138RN-0310@0.164,0.6562,0.4,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:11.50, "urn:cite:hmt:vaimg.VA138RN-0310@0.164,0.6727,0.394,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:11.51, "urn:cite:hmt:vaimg.VA138VN-0640@0.476,0.2444,0.4168,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:11.52, "urn:cite:hmt:vaimg.VA138VN-0640@0.477,0.2669,0.4098,0.0226"
urn:cts:greekLit:tlg0012.tlg001.msA:11.53, "urn:cite:hmt:vaimg.VA138VN-0640@0.477,0.285,0.4539,0.0241"
urn:cts:greekLit:tlg0012.tlg001.msA:11.54, "urn:cite:hmt:vaimg.VA138VN-0640@0.48,0.3045,0.3948,0.0241"
urn:cts:greekLit:tlg0012.tlg001.msA:11.55, "urn:cite:hmt:vaimg.VA138VN-0640@0.482,0.3211,0.4098,0.0256"
urn:cts:greekLit:tlg0012.tlg001.msA:11.56, "urn:cite:hmt:vaimg.VA138VN-0640@0.4749,0.3414,0.4118,0.0256"
urn:cts:greekLit:tlg0012.tlg001.msA:11.57, "urn:cite:hmt:vaimg.VA138VN-0640@0.4739,0.3579,0.4539,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.58, "urn:cite:hmt:vaimg.VA138VN-0640@0.476,0.3782,0.3607,0.0241"
urn:cts:greekLit:tlg0012.tlg001.msA:11.59, "urn:cite:hmt:vaimg.VA138VN-0640@0.4709,0.3992,0.4138,0.0226"
urn:cts:greekLit:tlg0012.tlg001.msA:11.60, "urn:cite:hmt:vaimg.VA138VN-0640@0.479,0.415,0.4088,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:11.61, "urn:cite:hmt:vaimg.VA138VN-0640@0.4739,0.4346,0.4379,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.62, "urn:cite:hmt:vaimg.VA138VN-0640@0.4729,0.4526,0.4088,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:11.63, "urn:cite:hmt:vaimg.VA138VN-0640@0.4649,0.4722,0.4499,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:11.64, "urn:cite:hmt:vaimg.VA138VN-0640@0.4709,0.4932,0.4509,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:11.65, "urn:cite:hmt:vaimg.VA138VN-0640@0.481,0.5098,0.4489,0.0271"
