URN, Image Reference
urn:cts:greekLit:tlg5026.msA.hmt:11.25, "urn:cite:hmt:vaimg.VA138RN-0310@0.598,0.6209,0.201,0.045"
urn:cts:greekLit:tlg5026.msA.hmt:11.26, "urn:cite:hmt:vaimg.VA138RN-0310@0.598,0.6637,0.19,0.039"
urn:cts:greekLit:tlg5026.msA.hmt:11.27, "urn:cite:hmt:vaimg.VA138VN-0640@0.192,0.132,0.718,0.0368"
urn:cts:greekLit:tlg5026.msA.hmt:11.28, "urn:cite:hmt:vaimg.VA138VN-0640@0.2,0.1508,0.727,0.0653"
urn:cts:greekLit:tlg5026.msA.hmt:11.30, "urn:cite:hmt:vaimg.VA138VN-0640@0.199,0.2093,0.224,0.0818"
urn:cts:greekLit:tlg5026.msA.hmt:11.31, "urn:cite:hmt:vaimg.VA138VN-0640@0.204,0.2866,0.222,0.0623"
urn:cts:greekLit:tlg5026.msA.hmt:11.32, "urn:cite:hmt:vaimg.VA138VN-0640@0.198,0.3406,0.231,0.0638"
urn:cts:greekLit:tlg5026.msA.hmt:11.33, "urn:cite:hmt:vaimg.VA138VN-0640@0.203,0.3983,0.234,0.0953"
urn:cts:greekLit:tlg5026.msA.hmt:11.34, "urn:cite:hmt:vaimg.VA138VN-0640@0.205,0.4861,0.234,0.03"
urn:cts:greekLit:tlg5026.msA.hmt:11.35, "urn:cite:hmt:vaimg.VA138VN-0640@0.206,0.5101,0.234,0.0878"
urn:cts:greekLit:tlg5026.msA.hmt:11.36, "urn:cite:hmt:vaimg.VA138VN-0640@0.204,0.5799,0.228,0.0345"
urn:cts:greekLit:tlg5026.msA.hmt:11.37, "urn:cite:hmt:vaimg.VA138VN-0640@0.209,0.6024,0.217,0.03"
urn:cts:greekLit:tlg5026.msA.hmt:11.38, "urn:cite:hmt:vaimg.VA138VN-0640@0.209,0.6249,0.225,0.0645"
urn:cts:greekLit:tlg5026.msA.hmt:11.39, "urn:cite:hmt:vaimg.VA138VN-0640@0.208,0.6789,0.228,0.0548"
urn:cts:greekLit:tlg5026.msA.hmt:11.40, "urn:cite:hmt:vaimg.VA138VN-0640@0.211,0.7262,0.296,0.0435"
urn:cts:greekLit:tlg5026.msA.hmt:11.41, "urn:cite:hmt:vaimg.VA139RN-0311@0.177,0.114,0.639,0.0623"
urn:cts:greekLit:tlg5026.msA.hmt:11.42, "urn:cite:hmt:vaimg.VA139RN-0311@0.172,0.1605,0.639,0.0285"
urn:cts:greekLit:tlg5026.msA.hmt:11.43, "urn:cite:hmt:vaimg.VA139RN-0311@0.172,0.1703,0.639,0.0495"
urn:cts:greekLit:tlg5026.msA.hmt:11.44, "urn:cite:hmt:vaimg.VA139RN-0311@0.592,0.2146,0.226,0.0765"
urn:cts:greekLit:tlg5026.msA.hmt:11.45, "urn:cite:hmt:vaimg.VA139RN-0311@0.588,0.2813,0.239,0.09"
urn:cts:greekLit:tlg5026.msA.hmt:11.46, "urn:cite:hmt:vaimg.VA139RN-0311@0.603,0.3668,0.213,0.0488"
urn:cts:greekLit:tlg5026.msA.hmt:11.47, "urn:cite:hmt:vaimg.VA139RN-0311@0.126,0.7194,0.672,0.03"
urn:cts:greekLit:tlg5026.msA.hmt:11.48, "urn:cite:hmt:vaimg.VA139RN-0311@0.315,0.7367,0.438,0.0225"
urn:cts:greekLit:tlg5026.msA.hmt:11.49, "urn:cite:hmt:vaimg.VA139RN-0311@0.151,0.7472,0.648,0.0833"
urn:cts:greekLit:tlg5026.msA.hmt:11.50, ""
urn:cts:greekLit:tlg5026.msA.hmt:11.51, ""
urn:cts:greekLit:tlg5026.msA.hmt:11.52, ""
urn:cts:greekLit:tlg5026.msA.hmt:11.53, ""
urn:cts:greekLit:tlg5026.msA.hmt:11.54, ""
urn:cts:greekLit:tlg5026.msA.hmt:11.55, ""
urn:cts:greekLit:tlg5026.msA.hmt:11.56, ""
urn:cts:greekLit:tlg5026.msA.hmt:11.57, ""
